,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Count
9663,1996,0.07,0.05,0.0,0.01,0.12,,,
9664,2004,0.1,0.02,0.0,0.0,0.12,67.0,21.0,12.0
9665,,0.12,0.0,0.0,0.01,0.12,,,
9666,2008,0.11,0.01,0.0,0.01,0.12,,,
9667,2011,0.1,0.01,0.0,0.01,0.12,,,
9668,2007,0.11,0.01,0.0,0.01,0.12,74.0,8.0,10.0
9669,2016,0.04,0.08,0.0,0.01,0.12,86.0,17.0,60.0
9670,2006,0.11,0.0,0.0,0.01,0.12,79.0,24.0,5.0
9671,2009,0.12,0.0,0.0,0.01,0.12,,,
9672,2003,0.06,0.05,0.0,0.02,0.12,70.0,31.0,22.0
9673,2010,0.05,0.01,0.05,0.01,0.12,59.0,9.0,14.0
9674,1997,0.0,0.0,0.12,0.01,0.12,,,
9675,2012,0.06,0.05,0.0,0.01,0.12,81.0,23.0,1209.0
9676,2012,0.0,0.0,0.12,0.0,0.12,,,
9677,2007,0.11,0.0,0.0,0.01,0.12,,,
9678,2007,0.11,0.0,0.0,0.01,0.12,61.0,8.0,6.0
9679,2006,0.0,0.0,0.12,0.0,0.12,,,
9680,1998,0.07,0.05,0.0,0.01,0.12,63.0,5.0,6.0
9681,2006,0.0,0.0,0.12,0.0,0.12,,,
9682,1996,0.0,0.0,0.12,0.0,0.12,,,
9683,2002,0.09,0.03,0.0,0.0,0.12,53.0,5.0,
9684,2002,0.06,0.05,0.0,0.02,0.12,59.0,8.0,6.0
9685,2006,0.0,0.0,0.12,0.0,0.12,,,
9686,2016,0.03,0.08,0.0,0.01,0.12,,,
9687,2009,0.1,0.01,0.0,0.01,0.12,53.0,53.0,27.0
9688,2009,0.12,0.0,0.0,0.01,0.12,62.0,5.0,
9689,1999,0.0,0.0,0.12,0.01,0.12,,,
9690,2004,0.1,0.02,0.0,0.0,0.12,,,
9691,2009,0.12,0.0,0.0,0.01,0.12,,,9.0
9692,2008,0.0,0.0,0.12,0.0,0.12,,,
9693,2001,0.06,0.05,0.0,0.02,0.12,79.0,15.0,16.0
9694,2008,0.11,0.0,0.0,0.01,0.12,53.0,19.0,14.0
9695,2013,0.0,0.0,0.12,0.0,0.12,,,
9696,2014,0.0,0.0,0.12,0.0,0.12,,,
9697,2002,0.09,0.03,0.0,0.0,0.12,,,
9698,2010,0.0,0.0,0.12,0.0,0.12,,,
9699,2016,0.0,0.0,0.12,0.0,0.12,,,
9700,2002,0.06,0.05,0.0,0.02,0.12,49.0,14.0,4.0
9701,2008,0.1,0.02,0.0,0.01,0.12,60.0,7.0,
9702,1998,0.03,0.02,0.07,0.01,0.12,,,
9703,2006,0.0,0.0,0.12,0.0,0.12,,,
9704,,0.09,0.0,0.03,0.01,0.12,50.0,8.0,37.0
9705,2000,0.07,0.05,0.0,0.01,0.12,,,
9706,1997,0.07,0.05,0.0,0.01,0.12,,,
9707,,0.06,0.04,0.0,0.01,0.12,78.0,5.0,57.0
9708,2008,0.11,0.0,0.0,0.01,0.12,,,
9709,2012,0.06,0.05,0.0,0.01,0.12,,,
9710,2013,0.09,0.0,0.03,0.01,0.12,62.0,11.0,44.0
9711,1994,0.0,0.0,0.12,0.0,0.12,,,
9712,2008,0.0,0.0,0.12,0.0,0.12,,,
9713,2011,0.0,0.0,0.12,0.0,0.12,,,
9714,2008,0.04,0.03,0.03,0.01,0.12,,,
9715,2010,0.12,0.0,0.0,0.01,0.12,,,
9716,2007,0.06,0.05,0.0,0.02,0.12,78.0,11.0,6.0
9717,2008,0.11,0.0,0.0,0.01,0.12,64.0,4.0,18.0
9718,1998,0.07,0.05,0.0,0.01,0.12,,,
9719,2003,0.06,0.05,0.0,0.02,0.12,,,
9720,2016,0.04,0.07,0.01,0.01,0.12,,,9.0
9721,2005,0.06,0.05,0.0,0.02,0.12,77.0,41.0,12.0
9722,2004,0.09,0.03,0.0,0.0,0.12,70.0,17.0,5.0
9723,2016,0.0,0.0,0.12,0.0,0.12,,,
9724,2006,0.11,0.0,0.0,0.01,0.12,66.0,21.0,6.0
9725,2006,0.09,0.02,0.0,0.0,0.12,51.0,8.0,
9726,2008,0.11,0.0,0.0,0.01,0.12,,,
9727,1998,0.07,0.05,0.0,0.01,0.12,79.0,6.0,6.0
9728,2009,0.09,0.02,0.0,0.01,0.12,68.0,28.0,6.0
9729,2008,0.0,0.1,0.0,0.03,0.12,,,
9730,2007,0.11,0.01,0.0,0.01,0.12,49.0,18.0,11.0
9731,2011,0.0,0.1,0.0,0.02,0.12,,,
9732,2008,0.11,0.0,0.0,0.01,0.12,59.0,8.0,6.0
9733,2006,0.0,0.0,0.12,0.0,0.12,,,
9734,2012,0.0,0.0,0.12,0.0,0.12,,,
9735,1997,0.07,0.05,0.0,0.01,0.12,,,
9736,2005,0.11,0.0,0.0,0.01,0.12,66.0,9.0,12.0
9737,2011,0.07,0.04,0.0,0.01,0.12,52.0,8.0,
9738,2005,0.11,0.0,0.0,0.01,0.12,68.0,22.0,
9739,,0.0,0.0,0.12,0.0,0.12,,,
9740,2007,0.0,0.0,0.12,0.0,0.12,,,
9741,1996,0.0,0.0,0.12,0.0,0.12,,,
9742,2003,0.09,0.03,0.0,0.0,0.12,74.0,20.0,11.0
9743,2005,0.11,0.0,0.0,0.01,0.12,,,
9744,1996,0.0,0.0,0.12,0.0,0.12,,,
9745,2008,0.06,0.05,0.0,0.02,0.12,,,
9746,2003,0.09,0.03,0.0,0.0,0.12,73.0,38.0,22.0
9747,2010,0.1,0.01,0.0,0.01,0.12,,,
9748,2011,0.0,0.0,0.12,0.0,0.12,,,
9749,2011,0.11,0.0,0.0,0.01,0.12,66.0,5.0,8.0
9750,2009,0.0,0.0,0.12,0.0,0.12,,,
9751,2011,0.09,0.02,0.0,0.01,0.12,37.0,12.0,14.0
9752,2010,0.1,0.01,0.0,0.01,0.12,46.0,21.0,8.0
9753,2008,0.06,0.05,0.0,0.02,0.12,,,6.0
9754,2013,0.0,0.11,0.0,0.01,0.12,,,
9755,1995,0.0,0.0,0.12,0.0,0.12,,,
9756,2002,0.09,0.03,0.0,0.0,0.12,60.0,14.0,5.0
9757,2014,0.0,0.0,0.12,0.0,0.12,,,
9758,2011,0.08,0.03,0.0,0.01,0.12,64.0,18.0,9.0
9759,2004,0.06,0.05,0.0,0.02,0.12,67.0,31.0,8.0
9760,2011,0.07,0.03,0.0,0.02,0.12,69.0,41.0,51.0
9761,2010,0.11,0.0,0.0,0.01,0.12,86.0,27.0,32.0
9762,,0.0,0.0,0.12,0.0,0.12,,,
9763,2010,0.11,0.01,0.0,0.01,0.12,33.0,5.0,
9764,2011,0.08,0.03,0.0,0.01,0.12,,,
9765,2006,0.06,0.05,0.0,0.02,0.12,53.0,13.0,6.0
9766,2013,0.08,0.02,0.01,0.01,0.12,64.0,38.0,144.0
9767,2015,0.01,0.09,0.0,0.02,0.12,76.0,4.0,19.0
9768,2010,0.07,0.04,0.0,0.01,0.12,33.0,7.0,6.0
9769,2005,0.06,0.05,0.0,0.02,0.12,43.0,16.0,5.0
9770,2010,0.0,0.0,0.12,0.0,0.12,,,
9771,2015,0.03,0.02,0.06,0.01,0.12,75.0,32.0,47.0
9772,2009,0.08,0.02,0.0,0.02,0.12,68.0,16.0,4.0
9773,2010,0.0,0.0,0.12,0.0,0.12,,,
9774,2011,0.07,0.04,0.0,0.02,0.12,50.0,4.0,4.0
9775,2009,0.05,0.0,0.06,0.01,0.12,63.0,27.0,13.0
9776,2008,0.11,0.0,0.0,0.01,0.12,49.0,26.0,11.0
9777,2001,0.09,0.03,0.0,0.0,0.12,65.0,24.0,7.0
9778,2007,0.11,0.0,0.0,0.01,0.12,,,
9779,2010,0.1,0.01,0.0,0.01,0.12,59.0,11.0,
9780,2003,0.09,0.03,0.0,0.0,0.12,63.0,14.0,
9781,2015,0.0,0.1,0.0,0.02,0.12,,,
9782,2011,0.07,0.03,0.0,0.02,0.12,47.0,17.0,4.0
9783,2007,0.0,0.0,0.12,0.0,0.12,,,
9784,2010,0.0,0.07,0.03,0.02,0.12,,,
9785,2005,0.11,0.0,0.0,0.01,0.12,59.0,30.0,17.0
9786,2004,0.09,0.03,0.0,0.0,0.12,71.0,62.0,17.0
9787,2006,0.11,0.0,0.0,0.01,0.12,55.0,12.0,
9788,1992,0.0,0.0,0.12,0.0,0.12,,,
9789,2009,0.11,0.0,0.0,0.01,0.12,,,
9790,2010,0.07,0.03,0.0,0.01,0.12,47.0,14.0,6.0
9791,2001,0.07,0.05,0.0,0.01,0.12,72.0,12.0,25.0
9792,2007,0.09,0.02,0.0,0.01,0.12,68.0,9.0,
9793,2007,0.11,0.0,0.0,0.01,0.12,80.0,55.0,26.0
9794,2016,0.06,0.03,0.0,0.02,0.12,65.0,40.0,62.0
9795,2011,0.07,0.04,0.0,0.01,0.12,64.0,51.0,60.0
9796,1999,0.0,0.0,0.12,0.0,0.12,,,
9797,2008,0.1,0.01,0.0,0.01,0.12,59.0,4.0,
9798,2009,0.11,0.0,0.0,0.01,0.12,,,
9799,2016,0.0,0.11,0.0,0.01,0.12,86.0,45.0,915.0
9800,2010,0.07,0.02,0.0,0.02,0.12,,,
9801,2003,0.09,0.02,0.0,0.0,0.12,62.0,21.0,8.0
9802,2010,0.11,0.0,0.0,0.01,0.12,,,
9803,2016,0.01,0.0,0.1,0.0,0.12,83.0,5.0,22.0
9804,2010,0.11,0.0,0.0,0.01,0.12,,,
9805,2011,0.0,0.0,0.12,0.0,0.12,,,
9806,2016,0.05,0.06,0.0,0.01,0.12,,,
9807,2016,0.05,0.06,0.0,0.01,0.12,,,7.0
9808,2000,0.0,0.0,0.11,0.01,0.12,,,
9809,2004,0.09,0.03,0.0,0.0,0.12,57.0,33.0,
9810,2007,0.11,0.0,0.0,0.01,0.12,28.0,18.0,8.0
9811,2008,0.11,0.0,0.0,0.01,0.12,,,
9812,2011,0.0,0.0,0.12,0.0,0.12,,,
9813,2011,0.1,0.01,0.0,0.01,0.12,,,
9814,2016,0.04,0.07,0.0,0.01,0.12,65.0,9.0,
9815,2016,0.04,0.07,0.0,0.01,0.12,86.0,37.0,383.0
9816,2011,0.11,0.0,0.0,0.01,0.12,,,
9817,2013,0.03,0.08,0.0,0.01,0.12,,,14.0
9818,,0.09,0.02,0.0,0.0,0.12,56.0,9.0,7.0
9819,2010,0.11,0.0,0.0,0.01,0.12,,,
9820,2010,0.11,0.01,0.0,0.01,0.12,,,
9821,1999,0.1,0.02,0.0,0.0,0.12,,,
9822,1999,0.0,0.0,0.05,0.07,0.12,,,
9823,2000,0.11,0.01,0.0,0.0,0.12,,,
9824,1999,0.1,0.02,0.0,0.0,0.12,,,
9825,2008,0.1,0.01,0.0,0.01,0.12,44.0,9.0,9.0
9826,2015,0.0,0.02,0.09,0.0,0.12,,,
9827,2009,0.08,0.0,0.03,0.01,0.12,70.0,11.0,15.0
9828,,0.0,0.1,0.0,0.02,0.12,66.0,24.0,4.0
9829,2008,0.11,0.0,0.0,0.01,0.12,,,
9830,2007,0.11,0.0,0.0,0.01,0.12,61.0,12.0,13.0
9831,,0.09,0.03,0.0,0.0,0.12,71.0,20.0,8.0
9832,2006,0.11,0.0,0.0,0.01,0.12,70.0,17.0,11.0
9833,2002,0.06,0.05,0.0,0.02,0.12,66.0,9.0,
9834,2016,0.0,0.0,0.12,0.0,0.12,,,
9835,2008,0.06,0.05,0.0,0.02,0.12,,,
9836,2005,0.09,0.03,0.0,0.0,0.12,,,
9837,2009,0.06,0.04,0.0,0.01,0.12,73.0,7.0,
9838,2011,0.0,0.0,0.12,0.0,0.12,,,
9839,2009,0.11,0.0,0.0,0.01,0.12,,,
9840,2013,0.0,0.0,0.12,0.0,0.12,,,
9841,2010,0.11,0.0,0.0,0.01,0.12,,,
9842,2010,0.08,0.02,0.0,0.02,0.12,74.0,33.0,25.0
9843,2000,0.07,0.05,0.0,0.01,0.12,70.0,9.0,
9844,1996,0.07,0.05,0.0,0.01,0.12,,,
9845,2001,0.0,0.0,0.12,0.0,0.12,89.0,18.0,236.0
9846,2003,0.06,0.05,0.0,0.02,0.12,69.0,20.0,
9847,1994,0.0,0.0,0.12,0.0,0.12,,,
9848,2010,0.0,0.0,0.12,0.0,0.12,,,
9849,2008,0.06,0.05,0.0,0.02,0.12,,,7.0
9850,2010,0.11,0.0,0.0,0.01,0.12,,,
9851,2005,0.09,0.03,0.0,0.0,0.12,,,
9852,2004,0.0,0.0,0.12,0.0,0.12,,,
9853,2015,0.09,0.02,0.0,0.01,0.12,39.0,18.0,132.0
9854,2003,0.06,0.05,0.0,0.02,0.12,65.0,19.0,8.0
9855,2015,0.08,0.02,0.01,0.01,0.12,45.0,31.0,81.0
9856,,0.11,0.0,0.0,0.01,0.12,,,
9857,2016,0.0,0.0,0.12,0.0,0.12,,,
9858,2011,0.08,0.03,0.0,0.01,0.12,,,
9859,2009,0.11,0.0,0.0,0.01,0.12,83.0,18.0,16.0
9860,2003,0.09,0.03,0.0,0.0,0.12,87.0,9.0,
9861,2001,0.0,0.0,0.12,0.0,0.12,,,
9862,2016,0.09,0.02,0.0,0.01,0.12,,,11.0
9863,2009,0.09,0.02,0.0,0.01,0.12,64.0,20.0,14.0
9864,2008,0.07,0.03,0.0,0.02,0.12,72.0,35.0,27.0
9865,2005,0.06,0.05,0.0,0.02,0.12,,,
9866,2010,0.11,0.0,0.0,0.01,0.12,36.0,20.0,17.0
9867,2009,0.11,0.0,0.0,0.01,0.12,,,
9868,2009,0.11,0.0,0.0,0.01,0.12,63.0,11.0,
9869,2015,0.05,0.06,0.0,0.01,0.12,,,
9870,2010,0.11,0.0,0.0,0.01,0.12,,,4.0
9871,2005,0.09,0.03,0.0,0.0,0.12,,,
9872,2006,0.09,0.03,0.0,0.0,0.12,69.0,26.0,9.0
9873,2012,0.01,0.1,0.0,0.01,0.12,,,
9874,2001,0.0,0.0,0.12,0.0,0.12,,,
9875,2011,0.08,0.0,0.03,0.01,0.12,52.0,6.0,
9876,2008,0.11,0.0,0.0,0.01,0.12,,,8.0
9877,,0.11,0.0,0.0,0.01,0.12,69.0,5.0,
9878,2010,0.0,0.0,0.12,0.0,0.12,,,
9879,2011,0.07,0.04,0.0,0.01,0.12,,,4.0
9880,2005,0.08,0.03,0.0,0.0,0.12,,,
9881,2003,0.06,0.05,0.0,0.02,0.12,65.0,33.0,7.0
9882,2014,0.0,0.0,0.12,0.0,0.12,,,
9883,2003,0.09,0.02,0.0,0.0,0.12,76.0,18.0,5.0
9884,1998,0.07,0.04,0.0,0.01,0.12,,,
9885,2002,0.09,0.02,0.0,0.0,0.12,90.0,13.0,4.0
9886,2014,0.08,0.0,0.01,0.02,0.12,,,
9887,2005,0.09,0.03,0.0,0.0,0.12,88.0,54.0,71.0
9888,2016,0.0,0.0,0.12,0.0,0.12,,,
9889,2002,0.09,0.02,0.0,0.0,0.12,36.0,14.0,5.0
9890,2013,0.0,0.0,0.12,0.0,0.12,,,
9891,1996,0.07,0.04,0.0,0.01,0.12,,,
9892,2005,0.06,0.05,0.0,0.02,0.12,39.0,4.0,9.0
9893,2003,0.09,0.03,0.0,0.0,0.12,,,
9894,2014,0.0,0.0,0.12,0.0,0.12,,,
9895,2008,0.11,0.0,0.0,0.01,0.12,59.0,6.0,
9896,2008,0.08,0.02,0.01,0.01,0.12,74.0,42.0,13.0
9897,1994,0.0,0.0,0.12,0.0,0.12,,,
9898,2010,0.08,0.02,0.0,0.02,0.12,66.0,36.0,13.0
9899,2002,0.09,0.02,0.0,0.0,0.12,59.0,14.0,
9900,2006,0.09,0.0,0.02,0.01,0.12,68.0,44.0,32.0
9901,2011,0.0,0.0,0.12,0.0,0.12,,,
9902,2011,0.11,0.0,0.0,0.01,0.12,,,
9903,2012,0.06,0.04,0.0,0.01,0.12,50.0,10.0,25.0
9904,2002,0.0,0.0,0.11,0.0,0.12,,,
9905,2009,0.11,0.0,0.0,0.01,0.12,,,
9906,2011,0.0,0.1,0.0,0.02,0.12,75.0,29.0,559.0
9907,2007,0.06,0.04,0.0,0.02,0.12,,,
9908,1998,0.07,0.04,0.0,0.01,0.12,,,
9909,2011,0.11,0.0,0.0,0.01,0.12,,,
9910,2004,0.09,0.03,0.0,0.0,0.12,43.0,17.0,
9911,2008,0.1,0.0,0.01,0.01,0.12,63.0,4.0,10.0
9912,2007,0.11,0.0,0.0,0.01,0.12,61.0,14.0,
9913,2013,0.04,0.07,0.0,0.01,0.12,75.0,5.0,148.0
9914,2001,0.0,0.0,0.11,0.01,0.12,,,
9915,1994,0.0,0.0,0.12,0.0,0.12,,,
9916,2008,0.1,0.01,0.0,0.01,0.12,66.0,8.0,
9917,2008,0.1,0.01,0.0,0.01,0.12,56.0,5.0,
9918,2006,0.09,0.01,0.0,0.01,0.12,64.0,34.0,42.0
9919,2009,0.11,0.0,0.0,0.01,0.12,84.0,17.0,21.0
9920,2008,0.11,0.0,0.0,0.01,0.12,,,7.0
9921,2011,0.08,0.03,0.0,0.01,0.12,50.0,7.0,12.0
9922,2007,0.1,0.01,0.0,0.01,0.12,25.0,7.0,18.0
9923,2015,0.03,0.02,0.06,0.01,0.12,73.0,26.0,24.0
9924,1993,0.0,0.0,0.12,0.0,0.12,,,
9925,2005,0.09,0.03,0.0,0.0,0.12,74.0,26.0,13.0
9926,2009,0.1,0.01,0.0,0.01,0.12,53.0,7.0,
9927,2014,0.0,0.0,0.12,0.0,0.12,,,
9928,2013,0.07,0.03,0.01,0.01,0.12,58.0,43.0,142.0
9929,2005,0.1,0.01,0.0,0.01,0.12,64.0,16.0,14.0
9930,2009,0.11,0.0,0.0,0.01,0.12,,,
9931,2000,0.07,0.04,0.0,0.01,0.12,,,
9932,2008,0.11,0.0,0.0,0.01,0.12,,,
9933,2002,0.0,0.0,0.12,0.0,0.12,,,
9934,2002,0.08,0.03,0.0,0.0,0.12,72.0,8.0,5.0
9935,2009,0.11,0.0,0.0,0.01,0.12,,,
9936,2007,0.11,0.0,0.0,0.01,0.12,61.0,17.0,7.0
9937,2001,0.06,0.04,0.0,0.01,0.12,,,
9938,2003,0.06,0.04,0.0,0.01,0.12,68.0,39.0,20.0
9939,2011,0.11,0.0,0.0,0.01,0.12,,,
9940,2004,0.09,0.03,0.0,0.0,0.12,45.0,14.0,4.0
9941,2011,0.11,0.0,0.0,0.01,0.12,,,
9942,2013,0.04,0.06,0.0,0.01,0.12,77.0,7.0,31.0
9943,2007,0.11,0.0,0.0,0.01,0.12,,,
9944,2003,0.09,0.03,0.0,0.0,0.12,73.0,26.0,14.0
9945,2008,0.11,0.0,0.0,0.01,0.12,55.0,24.0,20.0
9946,1997,0.0,0.0,0.12,0.0,0.12,,,
9947,2014,0.02,0.09,0.0,0.01,0.12,75.0,51.0,351.0
9948,2007,0.0,0.0,0.12,0.0,0.12,,,
9949,2005,0.09,0.02,0.0,0.0,0.12,57.0,10.0,
9950,2012,0.05,0.05,0.0,0.02,0.12,54.0,39.0,30.0
9951,2010,0.11,0.0,0.0,0.01,0.12,,,
9952,2011,0.11,0.0,0.0,0.01,0.12,,,
9953,2011,0.0,0.0,0.12,0.0,0.12,,,
9954,2008,0.08,0.02,0.0,0.01,0.12,78.0,18.0,15.0
9955,2016,0.0,0.0,0.12,0.0,0.12,,,
9956,2016,0.0,0.11,0.0,0.01,0.12,84.0,12.0,160.0
9957,2011,0.0,0.1,0.0,0.02,0.12,,,
9958,1991,0.0,0.0,0.12,0.0,0.12,,,
9959,1996,0.06,0.04,0.0,0.01,0.12,,,
9960,2011,0.07,0.03,0.0,0.01,0.12,,,
9961,2005,0.09,0.02,0.0,0.0,0.12,,,
9962,1998,0.0,0.0,0.12,0.0,0.12,,,
9963,1996,0.06,0.04,0.0,0.01,0.12,,,
9964,1998,0.06,0.04,0.0,0.01,0.12,,,
9965,2001,0.09,0.02,0.0,0.0,0.12,57.0,17.0,
9966,2006,0.09,0.02,0.0,0.0,0.12,66.0,12.0,
9967,2013,0.09,0.01,0.0,0.01,0.12,,,
9968,1998,0.0,0.0,0.11,0.01,0.12,,,
9969,2013,0.0,0.0,0.12,0.0,0.12,66.0,18.0,28.0
9970,2008,0.0,0.0,0.12,0.0,0.12,,,
9971,2016,0.07,0.02,0.0,0.02,0.12,,,5.0
9972,2008,0.06,0.04,0.0,0.01,0.12,63.0,21.0,
9973,2008,0.1,0.01,0.0,0.01,0.12,,,
9974,2010,0.09,0.0,0.01,0.01,0.12,68.0,38.0,18.0
9975,2007,0.0,0.0,0.12,0.0,0.12,,,
9976,2010,0.1,0.01,0.0,0.01,0.12,54.0,5.0,
9977,1995,0.0,0.0,0.11,0.01,0.12,,,
9978,2007,0.0,0.0,0.12,0.0,0.12,,,
9979,2007,0.0,0.0,0.12,0.0,0.12,,,
9980,2011,0.06,0.03,0.0,0.02,0.12,,,
9981,2009,0.0,0.0,0.12,0.0,0.12,,,
9982,2009,0.11,0.0,0.0,0.01,0.12,65.0,6.0,
9983,1994,0.0,0.0,0.12,0.0,0.12,,,
9984,2002,0.09,0.02,0.0,0.0,0.12,89.0,17.0,14.0
9985,2002,0.09,0.02,0.0,0.0,0.12,54.0,23.0,10.0
9986,2002,0.05,0.04,0.02,0.01,0.12,81.0,11.0,10.0
9987,2006,0.1,0.0,0.0,0.01,0.12,74.0,45.0,9.0
9988,2005,0.11,0.0,0.0,0.01,0.12,73.0,23.0,22.0
9989,2010,0.11,0.0,0.0,0.01,0.12,,,
9990,2011,0.07,0.03,0.0,0.01,0.12,65.0,52.0,133.0
9991,2011,0.08,0.03,0.0,0.01,0.12,21.0,5.0,25.0
9992,2003,0.09,0.02,0.0,0.0,0.12,79.0,21.0,11.0
9993,2010,0.08,0.03,0.0,0.01,0.12,55.0,4.0,
9994,2013,0.03,0.02,0.05,0.02,0.12,,,
9995,2001,0.08,0.03,0.0,0.0,0.11,77.0,12.0,4.0
9996,2012,0.0,0.0,0.11,0.0,0.11,,,
9997,2008,0.11,0.0,0.0,0.01,0.11,,,
9998,2014,0.03,0.02,0.06,0.01,0.11,70.0,19.0,27.0
9999,2000,0.0,0.0,0.11,0.0,0.11,,,
10000,2009,0.03,0.02,0.05,0.01,0.11,68.0,18.0,18.0
10001,2013,0.06,0.04,0.0,0.02,0.11,,,
10002,2004,0.09,0.02,0.0,0.0,0.11,59.0,5.0,6.0
10003,2002,0.09,0.02,0.0,0.0,0.11,78.0,15.0,
10004,2011,0.08,0.02,0.0,0.01,0.11,,,10.0
10005,1995,0.0,0.0,0.11,0.0,0.11,,,
10006,2000,0.06,0.04,0.0,0.01,0.11,,,
10007,2004,0.09,0.02,0.0,0.0,0.11,62.0,31.0,9.0
10008,2003,0.06,0.04,0.0,0.01,0.11,67.0,15.0,5.0
10009,2006,0.06,0.04,0.0,0.01,0.11,68.0,26.0,16.0
10010,2008,0.11,0.0,0.0,0.01,0.11,,,
10011,2008,0.11,0.0,0.0,0.01,0.11,66.0,21.0,8.0
10012,2010,0.0,0.1,0.0,0.02,0.11,77.0,24.0,27.0
10013,2009,0.11,0.0,0.0,0.01,0.11,,,
10014,2008,0.1,0.01,0.0,0.01,0.11,45.0,24.0,
10015,2010,0.11,0.0,0.0,0.01,0.11,,,
10016,2015,0.04,0.06,0.0,0.02,0.11,19.0,5.0,65.0
10017,2005,0.0,0.0,0.11,0.0,0.11,,,
10018,2006,0.0,0.0,0.11,0.0,0.11,,,
10019,2007,0.05,0.04,0.02,0.01,0.11,61.0,8.0,8.0
10020,2002,0.09,0.02,0.0,0.0,0.11,,,
10021,2010,0.1,0.0,0.0,0.01,0.11,74.0,27.0,11.0
10022,2002,0.08,0.03,0.0,0.0,0.11,76.0,20.0,7.0
10023,1998,0.0,0.0,0.11,0.0,0.11,,,
10024,2004,0.08,0.03,0.0,0.0,0.11,62.0,4.0,
10025,2012,0.0,0.0,0.11,0.0,0.11,,,15.0
10026,2014,0.0,0.0,0.11,0.0,0.11,,,
10027,2016,0.02,0.01,0.08,0.0,0.11,72.0,16.0,5.0
10028,2009,0.08,0.0,0.03,0.01,0.11,50.0,17.0,9.0
10029,2010,0.08,0.02,0.0,0.01,0.11,62.0,16.0,
10030,2016,0.0,0.0,0.11,0.0,0.11,,,
10031,2014,0.03,0.01,0.06,0.01,0.11,71.0,20.0,44.0
10032,2007,0.0,0.0,0.11,0.0,0.11,77.0,30.0,15.0
10033,2002,0.08,0.03,0.0,0.0,0.11,49.0,11.0,
10034,2010,0.06,0.05,0.0,0.01,0.11,,,
10035,2005,0.06,0.04,0.0,0.01,0.11,69.0,12.0,20.0
10036,2012,0.0,0.0,0.11,0.0,0.11,,,
10037,2004,0.09,0.02,0.0,0.0,0.11,44.0,26.0,
10038,1994,0.06,0.04,0.0,0.01,0.11,,,
10039,2006,0.09,0.02,0.0,0.0,0.11,63.0,16.0,7.0
10040,2010,0.0,0.0,0.11,0.0,0.11,,,
10041,2007,0.1,0.01,0.0,0.01,0.11,45.0,30.0,16.0
10042,2007,0.1,0.0,0.0,0.01,0.11,55.0,29.0,18.0
10043,2005,0.06,0.04,0.0,0.01,0.11,68.0,18.0,
10044,2008,0.1,0.0,0.0,0.01,0.11,76.0,9.0,
10045,2008,0.1,0.01,0.0,0.01,0.11,68.0,7.0,8.0
10046,2002,0.08,0.03,0.0,0.0,0.11,76.0,7.0,
10047,2005,0.09,0.0,0.02,0.01,0.11,72.0,35.0,
10048,2007,0.1,0.0,0.0,0.01,0.11,,,
10049,1999,0.06,0.04,0.0,0.01,0.11,,,
10050,2008,0.11,0.0,0.0,0.01,0.11,67.0,14.0,28.0
10051,,0.06,0.04,0.0,0.01,0.11,54.0,15.0,10.0
10052,2010,0.09,0.01,0.0,0.01,0.11,40.0,21.0,10.0
10053,2004,0.06,0.04,0.0,0.01,0.11,,,
10054,2011,0.11,0.0,0.0,0.01,0.11,,,
10055,2004,0.08,0.02,0.0,0.0,0.11,81.0,37.0,35.0
10056,2010,0.08,0.02,0.0,0.01,0.11,,,
10057,2013,0.08,0.03,0.0,0.01,0.11,,,49.0
10058,1998,0.0,0.0,0.11,0.01,0.11,,,
10059,2010,0.0,0.0,0.11,0.0,0.11,,,
10060,2003,0.06,0.04,0.0,0.01,0.11,81.0,19.0,19.0
10061,2014,0.0,0.0,0.11,0.0,0.11,,,
10062,2003,0.08,0.03,0.0,0.0,0.11,54.0,25.0,8.0
10063,2014,0.0,0.03,0.08,0.0,0.11,67.0,58.0,226.0
10064,2007,0.08,0.02,0.0,0.01,0.11,74.0,16.0,19.0
10065,2015,0.0,0.0,0.11,0.0,0.11,,,
10066,2011,0.0,0.09,0.0,0.02,0.11,,,
10067,2010,0.09,0.02,0.0,0.01,0.11,,,
10068,2005,0.06,0.04,0.0,0.01,0.11,73.0,41.0,23.0
10069,2000,0.06,0.04,0.0,0.01,0.11,82.0,15.0,11.0
10070,1999,0.06,0.04,0.0,0.01,0.11,,,
10071,2005,0.08,0.02,0.0,0.0,0.11,75.0,55.0,16.0
10072,2003,0.08,0.02,0.0,0.0,0.11,25.0,13.0,18.0
10073,2009,0.11,0.0,0.0,0.01,0.11,,,
10074,2004,0.1,0.0,0.0,0.01,0.11,28.0,17.0,26.0
10075,2013,0.1,0.0,0.0,0.02,0.11,75.0,7.0,21.0
10076,2008,0.1,0.0,0.0,0.01,0.11,,,
10077,2002,0.09,0.02,0.0,0.0,0.11,52.0,17.0,8.0
10078,2008,0.06,0.04,0.0,0.01,0.11,,,
10079,2000,0.0,0.0,0.11,0.01,0.11,,,39.0
10080,2015,0.0,0.0,0.11,0.0,0.11,,,
10081,1997,0.06,0.04,0.0,0.01,0.11,,,
10082,1998,0.0,0.0,0.11,0.0,0.11,,,
10083,2010,0.08,0.02,0.0,0.02,0.11,63.0,16.0,15.0
